01.06.2020,44.85
29.05.2020,38.5
28.05.2020,38.8
27.05.2020,38.7
26.05.2020,38.6
25.05.2020,38.75
22.05.2020,38.65
21.05.2020,38.75
20.05.2020,38.8
19.05.2020,38.85
18.05.2020,38.85
15.05.2020,38.75
14.05.2020,39.1
13.05.2020,39.35
12.05.2020,39.7
11.05.2020,39.9
08.05.2020,40
07.05.2020,40.2
06.05.2020,40
05.05.2020,39.6
04.05.2020,39
01.05.2020,39.5
30.04.2020,39.85
29.04.2020,39
28.04.2020,38.45
27.04.2020,39.1
27.03.2020,34.05
26.03.2020,34.05
25.03.2020,34.05
24.03.2020,34.05
23.03.2020,34.05
20.03.2020,34.05
19.03.2020,34.05
18.03.2020,34.05
17.03.2020,34.05
16.03.2020,34.05
13.03.2020,36.05
12.03.2020,36.05
11.03.2020,36.05
10.03.2020,37.05
09.03.2020,37.05
06.03.2020,41.55
05.03.2020,44.05
04.03.2020,45.05
03.03.2020,45.05
02.03.2020,45.05
28.02.2020,45.05
27.02.2020,45.05
26.02.2020,45.05
25.02.2020,44.05
24.02.2020,44.05
21.02.2020,44.05
20.02.2020,44.05
19.02.2020,44.05
18.02.2020,44.05
17.02.2020,44.05
14.02.2020,44.05
13.02.2020,44.05
12.02.2020,44.05
11.02.2020,44.05
10.02.2020,44.05
07.02.2020,44.05
06.02.2020,44.05
05.02.2020,44.05
04.02.2020,44.05
03.02.2020,44.05
31.01.2020,46.05
30.01.2020,46.05
29.01.2020,46.05
28.01.2020,46.05
27.01.2020,46.05
24.01.2020,45.55
23.01.2020,45.55
22.01.2020,45.55
21.01.2020,45.55
20.01.2020,45.55
17.01.2020,45.55
16.01.2020,45.55
15.01.2020,45.55
14.01.2020,45.55
13.01.2020,45.55
10.01.2020,45.55
09.01.2020,45.55
08.01.2020,45.55
07.01.2020,45.55
06.01.2020,45.55
03.01.2020,45.55
02.01.2020,45.55
31.12.2019,45.55
30.12.2019,45.55
27.12.2019,45.55
26.12.2019,45.55
24.12.2019,45.05
23.12.2019,45.05
20.12.2019,45.55
19.12.2019,45.55
18.12.2019,45.55
17.12.2019,45.55
16.12.2019,45.55
13.12.2019,45.55
12.12.2019,45.55
11.12.2019,45.55
10.12.2019,45.55
09.12.2019,45.55
06.12.2019,45.55
05.12.2019,45.55
04.12.2019,45.55
03.12.2019,45.55
02.12.2019,45.55
29.11.2019,46.05
28.11.2019,46.05
27.11.2019,46.05
26.11.2019,46.05
25.11.2019,43.8
22.11.2019,43.8
21.11.2019,43.8
20.11.2019,43.8
19.11.2019,43.8
18.11.2019,43.8
15.11.2019,43.8
14.11.2019,43.8
13.11.2019,43.8
12.11.2019,43.8
11.11.2019,43.8
08.11.2019,43.8
07.11.2019,43.8
06.11.2019,43.8
05.11.2019,43.8
04.11.2019,43.8
01.11.2019,43.8
31.10.2019,44.55
30.10.2019,44.55
29.10.2019,44.55
28.10.2019,44.55
25.10.2019,44.05
24.10.2019,44.05
23.10.2019,44.05
22.10.2019,44.05
21.10.2019,44.05
18.10.2019,44.05
17.10.2019,44.05
16.10.2019,44.05
15.10.2019,44.05
14.10.2019,44.55
11.10.2019,44.55
10.10.2019,44.55
09.10.2019,44.55
08.10.2019,44.55
07.10.2019,43.55
04.10.2019,43.55
03.10.2019,43.55
02.10.2019,43.55
01.10.2019,43.55
30.09.2019,43.55
27.09.2019,43.55
26.09.2019,43.55
25.09.2019,44.05
24.09.2019,44.05
23.09.2019,44.05
20.09.2019,44.05
19.09.2019,45.05
18.09.2019,45.05
17.09.2019,45.05
16.09.2019,45.05
13.09.2019,45.05
12.09.2019,45.05
11.09.2019,45.05
10.09.2019,45.55
09.09.2019,45.55
06.09.2019,45.55
05.09.2019,46.05
04.09.2019,46.55
03.09.2019,46.55
02.09.2019,46.55
30.08.2019,46.55
29.08.2019,46.55
28.08.2019,47.8
27.08.2019,47.8
26.08.2019,47.8
23.08.2019,47.8
22.08.2019,48.05
21.08.2019,48.05
20.08.2019,48.8
19.08.2019,48.8
16.08.2019,48.8
15.08.2019,48.8
14.08.2019,50.55
13.08.2019,51.55
12.08.2019,53.55
09.08.2019,53.55
08.08.2019,53.55
07.08.2019,53.55
06.08.2019,53.55
05.08.2019,53.55
02.08.2019,53.8
01.08.2019,53.8
31.07.2019,53.8
30.07.2019,53.8
29.07.2019,53.8
26.07.2019,53.8
25.07.2019,53.8
24.07.2019,53.8
23.07.2019,53.8
22.07.2019,53.8
19.07.2019,53.8
18.07.2019,53.8
17.07.2019,53.8
16.07.2019,53.8
15.07.2019,54.05
12.07.2019,54.05
11.07.2019,54.05
10.07.2019,54.05
09.07.2019,54.05
08.07.2019,54.05
05.07.2019,54.05
04.07.2019,54.05
03.07.2019,54.05
02.07.2019,54.05
01.07.2019,54.3
28.06.2019,54.3
27.06.2019,54.55
26.06.2019,54.55
25.06.2019,54.55
24.06.2019,54.55
21.06.2019,54.55
20.06.2019,54.55
19.06.2019,54.55
18.06.2019,54.55
17.06.2019,54.55
14.06.2019,54.55
13.06.2019,54.55
12.06.2019,55.05
11.06.2019,55.05
10.06.2019,55.55
07.06.2019,55.55
06.06.2019,55.55
05.06.2019,55.55
04.06.2019,55.55
03.06.2019,55.55
31.05.2019,55.55
30.05.2019,55.55
29.05.2019,55.55
28.05.2019,55.55
27.05.2019,55.55
24.05.2019,55.55
23.05.2019,55.55
22.05.2019,55.55
21.05.2019,55.55
20.05.2019,57.55
17.05.2019,57.55
16.05.2019,59.05
15.05.2019,59.05
14.05.2019,61.55
13.05.2019,62.95
10.05.2019,62.95
09.05.2019,62.95
08.05.2019,62.95
07.05.2019,62.95
06.05.2019,62.95
03.05.2019,62.95
02.05.2019,62.95
01.05.2019,62.95
