;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021
Pig iron;M'USD;;;25;25;27;10;17;22;64;49;97;82;59;114;17;56;19;79;99;122;130;171;16;81;149;109
Slabs;M'USD;;;239;162;259;278;210;189;349;488;319;360;360;487;530;302;359;277;311;374;349;227;327;627;699;472
Hot-rolled steel;M'USD;;;216;233;326;232;344;366;328;343;315;414;331;301;362;334;320;339;326;331;297;357;464;556;563;645
Other metal products*;M'USD;;;;;;;;;;;;;;;;;;;;;;;;;28;1
High value added products;M'USD;;;379;505;546;461;487;579;612;597;596;664;726;635;602;623;658;564;563;480;578;566;705;887;844;985
Other revenue;M'USD;;;70;70;97;109;112;167;127;146;145;117;101;105;112;128;126;88;77;77;71;94;84;124;139;143
Intersegmental revenue;M'USD;;;210;399;371;335;544;634;451;435;698;659;549;510;352;479;259;340;412;240;175;361;521;914;569;917
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;802;938;1 016;969;1 206;1 452;1 328;1 333;1 464;1 515;1 326;1 367;1 382;1 328;1 237;1 292;1 296;1 169;1 143;1 167;1 190;1 608;1 618;2 078
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iron ore materials;M'USD;;;155;221;200;227;294;278;255;316;390;381;341;308;303;292;338;354;365;362;367;413;506;676;691;632
Coke and coal;M'USD;;;173;218;230;303;448;405;369;415;466;425;397;403;388;342;293;277;276;245;197;192;223;284;348;604
Scrap;M'USD;;;48;69;69;85;93;96;106;117;109;111;116;123;104;89;89;94;96;92;95;104;126;197;168;192
Ferroalloys;M'USD;;;48;50;54;57;63;58;69;79;74;66;65;61;63;65;54;53;63;46;37;45;57;74;72;106
Other raw materials;M'USD;;;76;104;95;93;106;126;101;126;137;73;83;85;82;91;85;77;81;73;76;71;79;86;74;79
Electricity;M'USD;;;30;39;44;39;44;45;51;54;45;41;44;41;41;39;31;35;40;36;36;28;36;38;52;48
Natural gas;M'USD;;;40;39;35;43;46;41;38;37;44;35;30;37;40;36;38;41;40;32;30;35;38;33;33;39
Other energy resources;M'USD;;;7;5;5;6;8;6;5;7;9;6;6;8;9;5;5;7;7;5;5;6;6;4;5;8
Personnel ;M'USD;;;77;93;90;88;101;106;113;97;108;112;102;86;107;111;105;108;113;98;93;107;104;101;97;99
Other expenses and changes in inventories;M'USD;;;84;24;119;(49);(80);208;139;(19);(4);181;70;143;173;178;122;171;125;96;127;94;(64);24;(17);194
Depreciation;M'USD;;;63;78;75;78;83;85;83;102;85;84;73;72;73;79;77;75;89;85;80;72;79;91;95;77
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;337;456;611;458;508;505;604;723;705;782;799;785;594;595;504;395;492;455;457;609;927;1 581;1 373;1 194
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;168;236;400;243;284;257;367;449;433;523;557;492;346;369;280;165;258;213;218;387;687;1 292;1 050;576
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;232;310;476;326;368;346;453;555;523;612;636;568;424;455;363;248;355;303;306;466;772;1 393;1 154;662
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;81;138;279;162;200;376;541;468;384;429;555;507;239;580;660;462;190;355;441;274;530;997;833;966
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;(64);(74);(76);(83);(84);(89);(86);(106);(90);(89);(79);(76);(78);(86);(83);(83);(97);(90);(88);(79);(85);(101);(104);(86)
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;USD/t;;;351;429;493;493;558;588;564;637;650;669;666;605;581;629;627;523;515;473;488;560;706;904;1 003;890
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;USD/t;;;72;95;144;113;120;104;132;172;157;178;199;160;125;149;131;77;102;88;93;147;258;395;387;180
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;USD/t;;;159;193;201;230;264;261;238;265;273;275;254;264;262;265;252;243;215;200;194;205;220;252;305;353
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M'USD;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;%;;;20%;22%;29%;23%;21%;18%;23%;27%;24%;27%;30%;26%;21%;24%;21%;15%;20%;19%;19%;26%;36%;44%;39%;20%
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;-;-;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;; -     ; -     ;;;;;
;;;;;;;;;;;;;;;;;;;;;77;71;;; -     ; -     ; -     
;;;;;;;;;;;;;;;;;;;;;;;;;124;139;143
