;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RUSSIAN FLAT PRODUCTS;;;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;;2014;2015;Q1 2016;H1 2016;9M 2016;2016;Q1 2017;H1 2017;9M 2017;2017;Q1 2018;H1 2018;9M 2018;2018;Q1 2019;H1 2019;9M 2019;2019;Q1 2020;H1 2020;9M 2020;2020;Q1 2021;H1 2021;9M 2021;2021;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEGMENT SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pig iron;kT;;;15;10;-;45;1;1;2;2;2;4;3;3;-;-;-;-;-;-;-;-;2;1;3;2;;5;34;15;25;25;70;1;3;5;6;2;6;8;11;-;-;-;-;-;-;-;-;2;3;6;8;;;;;;;;;;;;;;;;;;;
;;;Slabs;kT;;;768;1 262;1 015;915;1 180;1 270;958;807;1 254;1 118;956;954;735;933;550;851;970;598;410;728;911;1 130;534;1 093;;4 070;3 829;768;2 029;3 044;3 960;1 180;2 450;3 408;4 214;1 254;2 372;3 328;4 282;735;1 668;2 218;3 069;970;1 568;1 978;2 706;911;2 041;2 575;3 668;;;;;;;;;;;;;;;;;;;
;;;Hot-rolled steel;kT;;;-;-;-;-;-;-;-;-;-;-;2;11;-;-;-;-;-;-;-;7;0;8;80;8;;27;-;-;-;-;-;-;-;-;-;-;-;2;13;-;-;-;-;-;-;-;7;0;8;88;96;;;;;;;;;;;;;;;;;;;
;;;Cold-rolled steel;kT;;;16;-;-;-;38;53;22;6;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;44;;-;12;16;16;16;16;38;91;113;119;-;-;-;-;10;10;10;10;-;-;-;-;-;-;-;44;;;;;;;;;;;;;;;;;;;
;;;Galvanized steel;kT;;;-;-;-;-;-;-;-;-;2;3;-;2;-;-;-;-;-;-;-;-;-;-;-;5;;-;12;-;-;-;-;-;-;-;-;2;5;5;7;-;-;-;-;-;-;-;-;-;-;-;5;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;SALES TO EXTERNAL CUSTOMERS;;kT;;;2 443;1 979;2 287;1 935;1 850;2 004;2 443;2 415;2 080;2 308;2 228;2 588;2 658;2 122;2 226;2 375;2 500;2 834;2 870;2 437;2 084;2 388;2 365;2 524;;8 157;9 154;2 443;4 422;6 709;8 645;1 850;3 854;6 296;8 711;2 080;4 388;6 616;9 203;2 658;4 780;7 006;9 381;2 500;5 334;8 204;10 641;2 084;4 472;6 837;9 361;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pig iron;kT;;;135;84;105;41;54;57;176;141;258;201;142;295;47;156;54;253;292;368;389;437;30;133;245;200;;259;649;135;218;324;365;54;111;287;429;258;459;601;896;47;203;257;510;292;659;1 048;1 485;30;163;409;608;;;;;;;;;;;;;;;;;;;
;;;Slabs;kT;;;858;443;617;689;471;390;748;905;569;633;629;948;1 117;577;740;646;696;973;903;501;603;885;828;649;;2 419;3 005;858;1 301;1 918;2 607;471;861;1 609;2 514;569;1 201;1 830;2 778;1 117;1 693;2 433;3 080;696;1 668;2 572;3 073;603;1 488;2 316;2 965;;;;;;;;;;;;;;;;;;;
