;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RUSSIAN FLAT PRODUCTS;;;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;;2014;2015;Q1 2016;H1 2016;9M 2016;2016;Q1 2017;H1 2017;9M 2017;2017;Q1 2018;H1 2018;9M 2018;2018;Q1 2019;H1 2019;9M 2019;2019;Q1 2020;H1 2020;9M 2020;2020;Q1 2021;H1 2021;9M 2021;2021;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEGMENT SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Intersegmental revenue;M'USD;;;210;399;371;335;544;634;451;435;698;659;549;510;352;479;259;340;412;240;175;361;521;914;569;917;;2 106;1 344;210;609;980;1 315;544;1 178;1 629;2 064;698;1 357;1 906;2 416;352;831;1 090;1 430;412;652;827;1 188;521;1 435;2 004;2 921;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;COST OF SALES;;M'USD;;;802;938;1 016;969;1 206;1 452;1 328;1 333;1 464;1 515;1 326;1 367;1 382;1 328;1 237;1 292;1 296;1 169;1 143;1 167;1 190;1 608;1 618;2 078;;5 584;4 004;802;1 740;2 756;3 725;1 206;2 658;3 986;5 319;1 464;2 979;4 305;5 672;1 382;2 710;3 947;5 239;1 296;2 465;3 608;4 775;1 190;2 798;4 416;6 494;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Iron ore materials;M'USD;;;155;221;200;227;294;278;255;316;390;381;341;308;303;292;338;354;365;362;367;413;506;676;691;632;;1 342;821;155;376;575;803;294;572;827;1 143;390;771;1 112;1 420;303;595;933;1 287;365;727;1 094;1 507;506;1 182;1 873;2 505;;;;;;;;;;;;;;;;;;;
;;;Coke and coal;M'USD;;;173;218;230;303;448;405;369;415;466;425;397;403;388;342;293;277;276;245;197;192;223;284;348;604;;1 063;874;173;391;621;924;448;853;1 222;1 637;466;891;1 288;1 691;388;730;1 023;1 300;276;521;718;910;223;507;855;1 459;;;;;;;;;;;;;;;;;;;
;;;Scrap;M'USD;;;48;69;69;85;93;96;106;117;109;111;116;123;104;89;89;94;96;92;95;104;126;197;168;192;;379;256;48;118;187;271;93;189;295;412;109;220;336;459;104;193;282;376;96;188;283;387;126;323;491;683;;;;;;;;;;;;;;;;;;;
;;;Ferroalloys;M'USD;;;48;50;54;57;63;58;69;79;74;66;65;61;63;65;54;53;63;46;37;45;57;74;72;106;;299;265;48;98;152;209;63;121;190;269;74;140;205;266;63;128;182;235;63;109;146;191;57;131;203;309;;;;;;;;;;;;;;;;;;;
;;;Other raw materials;M'USD;;;76;104;95;93;106;126;101;126;137;73;83;85;82;91;85;77;81;73;76;71;79;86;74;79;;334;246;76;180;275;350;106;232;333;459;137;210;293;378;82;173;258;335;81;154;230;301;79;165;239;318;;;;;;;;;;;;;;;;;;;
;;;Electricity;M'USD;;;30;39;44;39;44;45;51;54;45;41;44;41;41;39;31;35;40;36;36;28;36;38;52;48;;276;160;30;70;114;152;44;89;140;194;45;86;130;171;41;80;111;146;40;76;112;140;36;74;126;174;;;;;;;;;;;;;;;;;;;
;;;Natural gas;M'USD;;;40;39;35;43;46;41;38;37;44;35;30;37;40;36;38;41;40;32;30;35;38;33;33;39;;293;190;40;79;114;157;46;87;125;162;44;79;109;146;40;76;114;155;40;72;102;137;38;71;104;143;;;;;;;;;;;;;;;;;;;
;;;Other energy resources;M'USD;;;7;5;5;6;8;6;5;7;9;6;6;8;9;5;5;7;7;5;5;6;6;4;5;8;;49;27;7;12;16;23;8;14;19;26;9;15;21;29;9;14;19;26;7;12;17;23;6;10;15;23;;;;;;;;;;;;;;;;;;;
;;;Personnel ;M'USD;;;77;93;90;88;101;106;113;97;108;112;102;86;107;111;105;108;113;98;93;107;104;101;97;99;;527;362;77;169;259;348;101;207;320;417;108;220;322;408;107;218;323;431;113;211;304;411;104;205;302;401;;;;;;;;;;;;;;;;;;;
;;;Other expenses and changes in inventories;M'USD;;;84;24;119;(49);(80);208;139;(19);(4);181;70;143;173;178;122;171;125;96;127;94;(64);24;(17);194;;496;470;84;108;227;195;(80);128;267;248;(4);177;247;390;173;351;473;644;125;221;348;442;(64);(40);(57);137;;;;;;;;;;;;;;;;;;;
;;;Depreciation;M'USD;;;63;78;75;78;83;85;83;102;85;84;73;72;73;79;77;75;89;85;80;72;79;91;95;77;;525;333;63;141;216;294;83;168;251;353;85;169;242;314;73;152;229;304;89;174;254;326;79;170;265;342;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;GROSS PROFIT;;M'USD;;;337;456;611;458;508;505;604;723;705;782;799;785;594;595;504;395;492;455;457;609;927;1 581;1 373;1 194;;2 210;2 072;337;793;1 404;1 862;508;1 013;1 617;2 340;705;1 487;2 286;3 071;594;1 189;1 693;2 088;492;947;1 404;2 013;927;2 508;3 881;5 075;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;OPERATING PROFIT;;M'USD;;;168;236;400;243;284;257;367;449;433;523;557;492;346;369;280;165;258;213;218;387;687;1 292;1 050;576;;878;1 199;168;404;804;1 047;284;541;908;1 357;433;956;1 513;2 005;346;715;995;1 160;258;471;689;1 076;687;1 979;3 029;3 605;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;EBITDA;;M'USD;;;232;310;476;326;368;346;453;555;523;612;636;568;424;455;363;248;355;303;306;466;772;1 393;1 154;662;;1 419;1 577;232;542;1 018;1 344;368;714;1 167;1 722;523;1 135;1 771;2 339;424;879;1 242;1 490;355;658;964;1 430;772;2 165;3 319;3 981;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;PROFIT FOR THE PERIOD;;M'USD;;;81;138;279;162;200;376;541;468;384;429;555;507;239;580;660;462;190;355;441;274;530;997;833;966;;1 337;1 285;81;219;498;660;200;576;1 117;1 585;384;813;1 368;1 875;239;819;1 479;1 941;2 500;2 500;986;1 260;530;1 527;2 360;3 326;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;* Depreciation and amortization;;M'USD;;;(64);(74);(76);(83);(84);(89);(86);(106);(90);(89);(79);(76);(78);(86);(83);(83);(97);(90);(88);(79);(85);(101);(104);(86);;(541);(378);(64);(138);(214);(297);(84);(173);(259);(365);(90);(179);(258);(334);(78);(164);(247);(330);(97);(187);(275);(354);(85);(186);(290);(376);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MULTIPLIES & OTHER INDICATORS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;REVENUE / TONNE;;USD/t;;;351;429;493;493;558;588;564;637;650;669;666;605;581;629;627;523;515;473;488;560;706;904;1 003;890;;636;466;351;390;425;440;558;574;570;587;650;660;662;647;581;604;611;588;515;494;492;508;706;813;873;878;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;EBITDA / TONNE;;USD/t;;;72;95;144;113;120;104;132;172;157;178;199;160;125;149;131;77;102;88;93;147;258;395;387;180;;131;121;72;83;104;106;120;112;119;132;157;168;178;173;125;136;135;120;102;95;95;107;258;332;349;302;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;SLAB CASH COST;;USD/t;;;159;193;201;230;264;261;238;265;273;275;254;264;262;265;252;243;215;200;194;205;220;252;305;353;;276;205;159;176;184;195;264;263;254;250;273;274;267;266;262;263;260;256;215;200;194;208;220;238;252;282;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CAPEX;;M'USD;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;240;266;n/a;n/a;n/a;301;n/a;n/a;n/a;422;n/a;n/a;n/a;522;n/a;n/a;n/a;854;n/a;n/a;n/a;806;n/a;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;EBITDA MARGIN;;%;;;20%;22%;29%;23%;21%;18%;23%;27%;24%;27%;30%;26%;21%;24%;21%;15%;20%;19%;19%;26%;36%;44%;39%;20%;;18%;26%;20%;21%;24%;24%;21%;19%;21%;22%;24%;25%;27%;27%;21%;23%;22%;20%;20%;19%;19%;21%;36%;41%;40%;34%;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;**Sales of pipe products manufactured under the tolling scheme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ИСТИНА;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;-;-;-;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;; -     ; -     ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;77;71;;; -     ; -     ; -     ;;;;;;;;;;;;;;;;;;;;;;;;; -     ; -     ; -     ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;139;143;;;;;;;;;;;;;;;;;;;;;;;;;208;347;489;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
