2013-05-20,1.22,2013-05-14
2014-07-14,2.38,2014-04-23
2015-05-12,3.87,2015-03-06
2016-05-16,7.11,2016-03-07
2017-05-16,7.68,2017-03-02
2017-09-29,2.49,2017-08-09
2018-05-15,5.47,2018-03-02
2019-05-14,7.7,2019-03-25
2020-05-15,7.93,2020-03-06
2021-05-14,9.45,2021-03-26
2022-05-15,11.04,2021-03-14
